encoder,method,alpha,source_similarity,target_similarity,intermediateness
CAMPPlus,Source Control (0.0),0.0,0.999,0.128,0.129
CAMPPlus,Simple Mixing (0.5),0.5,0.863,0.326,0.464
CAMPPlus,LERP (0.5),0.5,0.473,0.506,0.862
CAMPPlus,Cosine (0.5),0.5,0.480,0.524,0.854
CAMPPlus,Sigmoid (0.5),0.5,0.475,0.509,0.853
CAMPPlus,TimbreTune SLERP (0.5),0.5,0.507,0.532,0.867
CAMPPlus,Full Conversion (1.0),1.0,0.297,0.763,0.534
ECAPA-TDNN,Source Control (0.0),0.0,0.999,0.085,0.086
ECAPA-TDNN,Simple Mixing (0.5),0.5,0.784,0.256,0.448
ECAPA-TDNN,LERP (0.5),0.5,0.286,0.427,0.776
ECAPA-TDNN,Cosine (0.5),0.5,0.295,0.440,0.771
ECAPA-TDNN,Sigmoid (0.5),0.5,0.295,0.440,0.779
ECAPA-TDNN,TimbreTune SLERP (0.5),0.5,0.319,0.444,0.792
ECAPA-TDNN,Full Conversion (1.0),1.0,0.165,0.654,0.511
