pair_id,alpha,sim_to_source,sim_to_target,intermediateness
pair01,0.0,1.0,-0.0842,-0.0842
pair01,0.05,0.7545,-0.0325,0.213
pair01,0.1,0.6871,0.012,0.3249
pair01,0.15,0.5914,0.0496,0.4582
pair01,0.2,0.4908,0.1235,0.6327
pair01,0.25,0.4896,0.1578,0.6682
pair01,0.3,0.4586,0.2251,0.7666
pair01,0.35,0.4399,0.3025,0.8625
pair01,0.4,0.4408,0.3126,0.8718
pair01,0.45,0.3609,0.426,0.9348
pair01,0.5,0.3899,0.4286,0.9613
pair01,0.55,0.362,0.5142,0.8478
pair01,0.6,0.3262,0.5619,0.7643
pair01,0.65,0.2929,0.5816,0.7112
pair01,0.7,0.3022,0.616,0.6863
pair01,0.75,0.2724,0.6483,0.6241
pair01,0.8,0.2276,0.6912,0.5363
pair01,0.85,0.2263,0.7069,0.5194
pair01,0.9,0.1631,0.6997,0.4635
pair01,0.95,0.1693,0.7314,0.438
pair01,1.0,0.0883,0.7236,0.3647
pair02,0.0,1.0,0.1743,0.1743
pair02,0.05,0.4862,0.3654,0.8793
pair02,0.1,0.3711,0.3114,0.9402
pair02,0.15,0.3419,0.3724,0.9694
pair02,0.2,0.2835,0.3239,0.9596
pair02,0.25,0.1986,0.3814,0.8172
pair02,0.3,0.2452,0.4212,0.824
pair02,0.35,0.2423,0.4741,0.7683
pair02,0.4,0.2008,0.5334,0.6675
pair02,0.45,0.2573,0.5474,0.7099
pair02,0.5,0.2626,0.585,0.6776
pair02,0.55,0.2648,0.6679,0.5969
pair02,0.6,0.2685,0.713,0.5556
pair02,0.65,0.2763,0.7462,0.5301
pair02,0.7,0.2819,0.7588,0.5231
pair02,0.75,0.2931,0.7936,0.4995
pair02,0.8,0.254,0.8127,0.4413
pair02,0.85,0.277,0.8397,0.4372
pair02,0.9,0.2242,0.8488,0.3753
pair02,0.95,0.2141,0.8368,0.3772
pair02,1.0,0.1575,0.854,0.3034
pair03,0.0,1.0,0.5304,0.5304
pair03,0.05,0.871,0.5482,0.6773
pair03,0.1,0.843,0.5795,0.7365
pair03,0.15,0.8239,0.5845,0.7606
pair03,0.2,0.7881,0.6074,0.8194
pair03,0.25,0.7548,0.6331,0.8783
pair03,0.3,0.7347,0.6409,0.9062
pair03,0.35,0.7439,0.6806,0.9367
pair03,0.4,0.7231,0.6978,0.9747
pair03,0.45,0.7254,0.745,0.9804
pair03,0.5,0.7368,0.7476,0.9892
pair03,0.55,0.6955,0.7931,0.9024
pair03,0.6,0.6945,0.8119,0.8826
pair03,0.65,0.6977,0.8425,0.8552
pair03,0.7,0.6852,0.8598,0.8254
pair03,0.75,0.6675,0.8707,0.7967
pair03,0.8,0.6351,0.8776,0.7575
pair03,0.85,0.6319,0.868,0.7639
pair03,0.9,0.619,0.8803,0.7386
pair03,0.95,0.6192,0.8658,0.7534
pair03,1.0,0.6018,0.8748,0.727
pair04,0.0,1.0,0.0421,0.0421
pair04,0.05,0.8811,0.0463,0.1652
pair04,0.1,0.8652,0.1086,0.2434
pair04,0.15,0.8137,0.1264,0.3127
pair04,0.2,0.8183,0.1953,0.3769
pair04,0.25,0.8045,0.2107,0.4061
pair04,0.3,0.7169,0.2715,0.5546
pair04,0.35,0.7379,0.3032,0.5654
pair04,0.4,0.6796,0.3769,0.6973
pair04,0.45,0.6839,0.3676,0.6837
pair04,0.5,0.6839,0.4131,0.7292
pair04,0.55,0.6587,0.5111,0.8524
pair04,0.6,0.6349,0.537,0.9021
pair04,0.65,0.591,0.5933,0.9976
pair04,0.7,0.5176,0.6432,0.8744
pair04,0.75,0.5118,0.6326,0.8792
pair04,0.8,0.4672,0.6489,0.8182
pair04,0.85,0.4291,0.6761,0.753
pair04,0.9,0.4013,0.6658,0.7355
pair04,0.95,0.3772,0.6916,0.6856
pair04,1.0,0.3355,0.697,0.6386
pair05,0.0,0.9947,-0.0215,-0.0161
pair05,0.05,0.8117,0.0437,0.232
pair05,0.1,0.8366,0.0334,0.1968
pair05,0.15,0.7935,0.1156,0.3221
pair05,0.2,0.7739,0.1148,0.341
pair05,0.25,0.7374,0.1324,0.395
pair05,0.3,0.6739,0.2019,0.5281
pair05,0.35,0.6556,0.3004,0.6448
pair05,0.4,0.6039,0.3167,0.7128
pair05,0.45,0.4875,0.4195,0.9321
pair05,0.5,0.4619,0.4843,0.9776
pair05,0.55,0.4329,0.549,0.8838
pair05,0.6,0.4064,0.5547,0.8517
pair05,0.65,0.3693,0.5857,0.7835
pair05,0.7,0.3912,0.5841,0.8071
pair05,0.75,0.3978,0.6003,0.7975
pair05,0.8,0.3523,0.6372,0.7151
pair05,0.85,0.3201,0.6645,0.6556
pair05,0.9,0.3204,0.6488,0.6716
pair05,0.95,0.3099,0.6321,0.6778
pair05,1.0,0.3004,0.6659,0.6345
