pair_id,alpha,sim_to_source,sim_to_target,intermediateness
pair01,0.0,1.0,0.059,0.059
pair01,0.05,0.5996,0.1234,0.5238
pair01,0.1,0.4855,0.1074,0.6219
pair01,0.15,0.3832,0.0862,0.703
pair01,0.2,0.3048,0.1492,0.8444
pair01,0.25,0.2871,0.2159,0.9288
pair01,0.3,0.2806,0.2427,0.9621
pair01,0.35,0.2575,0.3153,0.9422
pair01,0.4,0.2252,0.3004,0.9248
pair01,0.45,0.2213,0.4212,0.8001
pair01,0.5,0.2447,0.3853,0.8594
pair01,0.55,0.2052,0.4187,0.7865
pair01,0.6,0.2061,0.4958,0.7103
pair01,0.65,0.2166,0.4869,0.7297
pair01,0.7,0.2413,0.6179,0.6233
pair01,0.75,0.1996,0.6635,0.5361
pair01,0.8,0.2101,0.6702,0.5399
pair01,0.85,0.2114,0.6922,0.5192
pair01,0.9,0.1902,0.7096,0.4806
pair01,0.95,0.1879,0.6969,0.491
pair01,1.0,0.1748,0.7411,0.4336
pair02,0.0,1.0,0.1341,0.1341
pair02,0.05,0.3327,0.2155,0.8829
pair02,0.1,0.3236,0.2537,0.93
pair02,0.15,0.3692,0.2723,0.903
pair02,0.2,0.2864,0.3058,0.9806
pair02,0.25,0.2727,0.3801,0.8926
pair02,0.3,0.2374,0.379,0.8584
pair02,0.35,0.2368,0.4618,0.7751
pair02,0.4,0.2299,0.5842,0.6457
pair02,0.45,0.2652,0.5573,0.7079
pair02,0.5,0.241,0.6419,0.5991
pair02,0.55,0.2217,0.6437,0.578
pair02,0.6,0.1802,0.7106,0.4696
pair02,0.65,0.1925,0.7226,0.4699
pair02,0.7,0.2315,0.7431,0.4884
pair02,0.75,0.2081,0.775,0.433
pair02,0.8,0.2089,0.7721,0.4367
pair02,0.85,0.2032,0.7779,0.4253
pair02,0.9,0.1878,0.7979,0.3899
pair02,0.95,0.2169,0.8096,0.4073
pair02,1.0,0.1793,0.8064,0.3729
pair03,0.0,1.0,0.1713,0.1713
pair03,0.05,0.7584,0.2769,0.5185
pair03,0.1,0.7215,0.2468,0.5253
pair03,0.15,0.6761,0.3246,0.6485
pair03,0.2,0.6463,0.2898,0.6435
pair03,0.25,0.599,0.3634,0.7644
pair03,0.3,0.6108,0.4181,0.8073
pair03,0.35,0.5606,0.44,0.8795
pair03,0.4,0.542,0.5158,0.9738
pair03,0.45,0.4505,0.5862,0.8643
pair03,0.5,0.4813,0.5865,0.8948
pair03,0.55,0.4197,0.6903,0.7294
pair03,0.6,0.3654,0.6903,0.6751
pair03,0.65,0.3649,0.6904,0.6745
pair03,0.7,0.3586,0.7383,0.6203
pair03,0.75,0.3104,0.7258,0.5846
pair03,0.8,0.2517,0.7566,0.4951
pair03,0.85,0.2469,0.7598,0.4871
pair03,0.9,0.242,0.7777,0.4642
pair03,0.95,0.2098,0.7327,0.4771
pair03,1.0,0.2186,0.7629,0.4557
pair04,0.0,1.0,-0.0099,-0.0099
pair04,0.05,0.7599,0.0113,0.2514
pair04,0.1,0.7221,0.0297,0.3076
pair04,0.15,0.69,0.0314,0.3413
pair04,0.2,0.6232,0.049,0.4257
pair04,0.25,0.6025,0.0416,0.4391
pair04,0.3,0.534,0.0904,0.5564
pair04,0.35,0.4891,0.1003,0.6112
pair04,0.4,0.4645,0.166,0.7016
pair04,0.45,0.4288,0.1284,0.6996
pair04,0.5,0.4018,0.1935,0.7917
pair04,0.55,0.3526,0.2632,0.9106
pair04,0.6,0.331,0.273,0.942
pair04,0.65,0.3034,0.2985,0.9951
pair04,0.7,0.2619,0.3126,0.9493
pair04,0.75,0.2345,0.3412,0.8932
pair04,0.8,0.2242,0.3576,0.8666
pair04,0.85,0.2064,0.3351,0.8713
pair04,0.9,0.194,0.3683,0.8257
pair04,0.95,0.1865,0.3904,0.7961
pair04,1.0,0.1375,0.3823,0.7551
pair05,0.0,0.9938,0.0693,0.0755
pair05,0.05,0.6546,0.1552,0.5006
pair05,0.1,0.6764,0.1308,0.4544
pair05,0.15,0.6494,0.1464,0.497
pair05,0.2,0.5824,0.1393,0.5569
pair05,0.25,0.5651,0.1437,0.5786
pair05,0.3,0.4619,0.1623,0.7004
pair05,0.35,0.3266,0.207,0.8804
pair05,0.4,0.3389,0.2477,0.9089
pair05,0.45,0.2643,0.2867,0.9775
pair05,0.5,0.2248,0.4108,0.814
pair05,0.55,0.1903,0.4522,0.7381
pair05,0.6,0.1418,0.4926,0.6493
pair05,0.65,0.1332,0.4795,0.6537
pair05,0.7,0.1404,0.5116,0.6288
pair05,0.75,0.1152,0.5547,0.5606
pair05,0.8,0.1179,0.563,0.5549
pair05,0.85,0.1052,0.5739,0.5314
pair05,0.9,0.1399,0.5747,0.5652
pair05,0.95,0.1219,0.5558,0.566
pair05,1.0,0.1121,0.5765,0.5357
